id,appraised_value,sq_ft,acreage,latitude,longitude,zip_code,flood_risk,,,,
101,$ 430700,2424,0.05,29.75643,-95.39276,77019,1,,,$,430700
102,$ 380945,2060,0.035,29.75643,-95.39276,77019,1,,,$,380945
103,$ 423034,2508,0.0382,29.75575,-95.39273,77019,1,,,$,423034
104,$ 366196,2060,0.0349,29.75575,-95.39273,77019,1,,,$,366196
106,$ 292332,1857,0.0326,29.75716,-95.39151,77019,1,,,$,292332
107,$ 292740,1872,0.0315,29.75683,-95.3916,77019,1,,,$,292740
108,$ 323058,2078,0.0323,29.75671,-95.39167,77019,1,,,$,323058
110,$ 296389,1928,0.0296,29.75731,-95.39168,77019,1,,,$,296389
111,$ 278200,1715,0.0296,29.75731,-95.39168,77019,1,,,$,278200
112,$ 366799,2436,0.0592,29.75731,-95.39168,77019,1,,,$,366799
113,$ 289023,1872,0.0314,29.75678,-95.3916,77019,1,,,$,289023
114,$ 289000,2014,0.028,29.75664,-95.39167,77019,1,,,$,289000
115,$ 280000,2078,0.031,29.75659,-95.39167,77019,1,,,$,280000
116,$ 300358,1872,0.0315,29.75655,-95.3916,77019,1,,,$,300358
117,$ 294600,1968,0.0314,29.75705,-95.39161,77019,1,,,$,294600
118,$ 304424,2078,0.0323,29.757,-95.39168,77019,1,,,$,304424
119,$ 303664,2078,0.031,29.75687,-95.39168,77019,1,,,$,303664
120,$ 347134,2103,0.0333,29.7559,-95.39149,77019,1,,,$,347134
121,$ 299983,1968,0.028,29.75694,-95.39167,77019,1,,,$,299983
122,$ 332787,2437,0.0327,29.75716,-95.39178,77019,1,,,$,332787
123,$ 306600,2035,0.0327,29.75716,-95.39151,77019,1,,,$,306600
124,$ 361310,2198,0.0299,29.75591,-95.3917,77019,1,,,$,361310
125,$ 355359,2089,0.0261,29.75589,-95.3916,77019,1,,,$,355359
126,$ 354379,2105,0.0338,29.75607,-95.39149,77019,1,,,$,354379
127,$ 349474,2089,0.0261,29.75607,-95.39162,77019,1,,,$,349474
128,$ 365701,2197,0.0295,29.75605,-95.3917,77019,1,,,$,365701
137,$ 445000,2631,0.0649,29.73768,-95.42517,77098,1,,,$,445000
138,$ 412500,1975,0.0651,29.73755,-95.42516,77098,1,,,$,412500
141,$ 445000,2284,0.0772,29.73756,-95.42497,77098,1,,,$,445000
162,$ 403014,1852,0.0712,29.74031,-95.42249,77098,1,,,$,403014
165,$ 330000,1902,0.0712,29.74024,-95.42249,77098,1,,,$,330000
168,$ 408652,1877,0.0712,29.74018,-95.42249,77098,1,,,$,408652
190,$ 389240,2105,0.0777,29.73909,-95.4162,77098,1,,,$,389240
191,$ 396979,2400,0.0413,29.73909,-95.41611,77098,1,,,$,396979
192,$ 354312,2012,0.0445,29.73909,-95.41605,77098,1,,,$,354312
193,$ 386901,2299,0.0395,29.73909,-95.41598,77098,1,,,$,386901
194,$ 300000,1916,0.0445,29.7391,-95.41592,77098,1,,,$,300000
195,$ 376393,1982,0.0402,29.73909,-95.41585,77098,1,,,$,376393
196,$ 360600,1800,0.0402,29.73909,-95.41579,77098,1,,,$,360600
197,$ 354312,2401,0.0445,29.7391,-95.41572,77098,1,,,$,354312
198,$ 336000,2112,0.0363,29.73909,-95.41566,77098,1,,,$,336000
199,$ 373783,2172,0.0376,29.73908,-95.41559,77098,1,,,$,373783
200,$ 372300,2154,0.0374,29.7391,-95.41556,77098,1,,,$,372300
201,$ 342060,2153,0.0382,29.7391,-95.41546,77098,1,,,$,342060
202,$ 418779,2188,0.0383,29.73957,-95.41548,77098,1,,,$,418779
203,$ 362685,2154,0.0385,29.73959,-95.41554,77098,1,,,$,362685
204,$ 357774,2116,0.0375,29.73958,-95.4156,77098,1,,,$,357774
205,$ 375618,2188,0.0362,29.73957,-95.41567,77098,1,,,$,375618
206,$ 345000,2211,0.0445,29.73955,-95.41574,77098,1,,,$,345000
207,$ 359606,1800,0.0402,29.73956,-95.4158,77098,1,,,$,359606
209,$ 363965,1980,0.0445,29.73955,-95.41593,77098,1,,,$,363965
210,$ 312423,1912,0.0395,29.73956,-95.41599,77098,1,,,$,312423
211,$ 373955,2222,0.0445,29.73955,-95.41606,77098,1,,,$,373955
212,$ 367377,1886,0.0402,29.73955,-95.41612,77098,1,,,$,367377
214,$ 423918,2133,0.0346,29.74803,-95.41559,77019,1,,,$,423918
215,$ 423918,2091,0.0346,29.74808,-95.41553,77019,1,,,$,423918
227,$ 298269,1760,0.0471,29.73673,-95.41667,77098,1,,,$,298269
229,$ 328500,2007,0.0471,29.73673,-95.41698,77098,1,,,$,328500
230,$ 288446,1510,0.0471,29.73673,-95.41675,77098,1,,,$,288446
231,$ 321898,1820,0.0471,29.73673,-95.4169,77098,1,,,$,321898
235,$ 400970,1120,0.1148,29.75246,-95.38556,77019,1,,,$,400970
266,$ 294800,1740,0.0375,29.74698,-95.39387,77006,1,,,$,294800
267,$ 372758,2202,0.0407,29.74711,-95.39391,77006,1,,,$,372758
268,$ 342575,1814,0.0413,29.74712,-95.39368,77006,1,,,$,342575
269,$ 315322,1833,0.032,29.74711,-95.39383,77006,1,,,$,315322
270,$ 318997,2062,0.0291,29.74711,-95.39376,77006,1,,,$,318997
271,$ 310686,2272,0.043,29.74711,-95.39288,77006,1,,,$,310686
272,$ 313800,2380,0.043,29.74711,-95.39296,77006,1,,,$,313800
273,$ 314170,2380,0.043,29.74713,-95.39313,77006,1,,,$,314170
274,$ 380004,2160,0.043,29.74713,-95.39313,77006,1,,,$,380004
276,$ 233104,1745,0.0331,29.74746,-95.39261,77006,1,,,$,233104
285,$ 447665,2795,0.0424,29.74784,-95.3948,77006,1,,,$,447665
301,$ 280780,1898,0.0426,29.74995,-95.39721,77006,1,,,$,280780
302,$ 320268,1898,0.0426,29.74995,-95.39721,77006,1,,,$,320268
307,$ 381740,2412,0.0405,29.75118,-95.39793,77006,1,,,$,381740
313,$ 415309,2106,0.0521,29.74612,-95.39226,77006,1,,,$,415309
314,$ 402500,2768,0.0391,29.7457,-95.39217,77006,1,,,$,402500
315,$ 446681,2858,0.0391,29.74571,-95.3921,77006,1,,,$,446681
316,$ 407700,2262,0.044,29.74612,-95.39217,77006,1,,,$,407700
318,$ 450000,2342,0.0594,29.74566,-95.3931,77006,1,,,$,450000
319,$ 414058,2228,0.0403,29.74611,-95.3935,77006,1,,,$,414058
320,$ 281945,2308,0.0416,29.74614,-95.39291,77006,1,,,$,281945
321,$ 408801,2546,0.0457,29.7461,-95.39377,77006,1,,,$,408801
322,$ 404800,2257,0.0427,29.74609,-95.39368,77006,1,,,$,404800
323,$ 398048,2257,0.0345,29.7461,-95.39359,77006,1,,,$,398048
324,$ 406257,2342,0.0519,29.74566,-95.39287,77006,1,,,$,406257
336,$ 337391,2071,0.0277,29.74838,-95.39513,77006,1,,,$,337391
337,$ 337900,2071,0.0277,29.74838,-95.39505,77006,1,,,$,337900
338,$ 350661,2071,0.0337,29.74838,-95.39497,77006,1,,,$,350661
339,$ 416894,2260,0.051,29.74823,-95.39515,77006,1,,,$,416894
340,$ 359166,2039,0.0346,29.74822,-95.39506,77006,1,,,$,359166
341,$ 360000,2039,0.0421,29.74822,-95.39497,77006,1,,,$,360000
343,$ 377377,2176,0.0336,29.74819,-95.39488,77006,1,,,$,377377
344,$ 349102,2176,0.0249,29.7483,-95.39489,77006,1,,,$,349102
353,$ 292687,1556,0.0548,29.74858,-95.39235,77006,1,,,$,292687
354,$ 368282,2888,0.0595,29.74858,-95.39235,77006,1,,,$,368282
355,$ 326206,1973,0.0647,29.74858,-95.39235,77006,1,,,$,326206
356,$ 376681,2424,0.0466,29.74858,-95.39235,77006,1,,,$,376681
365,$ 335848,1857,0.0308,29.74935,-95.39247,77006,1,,,$,335848
366,$ 372268,2148,0.0344,29.74924,-95.39246,77006,1,,,$,372268
367,$ 334798,1857,0.0305,29.74935,-95.39247,77006,1,,,$,334798
368,$ 393002,2074,0.0433,29.74925,-95.39234,77006,1,,,$,393002
369,$ 375650,2202,0.0344,29.74925,-95.39234,77006,1,,,$,375650
370,$ 393676,2030,0.0431,29.74924,-95.39246,77006,1,,,$,393676
374,$ 353423,2295,0.0374,29.74851,-95.39404,77006,1,,,$,353423
378,$ 328000,1420,0.0574,29.7436,-95.40274,77019,1,,,$,328000
382,$ 388435,1890,0.0574,29.7436,-95.40259,77019,1,,,$,388435
398,$ 399388,3096,0.124,29.73909,-95.38099,77002,1,,,$,399388
404,$ 135809,1200,0.0367,29.74104,-95.40832,77098,1,,,$,135809
407,$ 376264,2500,0.0425,29.74222,-95.39287,77006,1,,,$,376264
408,$ 336861,1944,0.058,29.7421,-95.39302,77006,1,,,$,336861
409,$ 378260,1977,0.058,29.7421,-95.3931,77006,1,,,$,378260
410,$ 351488,1892,0.058,29.7421,-95.39318,77006,1,,,$,351488
411,$ 323569,2001,0.0528,29.73552,-95.39348,77006,1,,,$,323569
414,$ 305158,2277,0,29.7346,-95.39353,77006,1,,,$,305158
415,$ 400000,2962,0,29.7346,-95.39353,77006,1,,,$,400000
416,$ 273000,2762,0,29.7346,-95.39353,77006,1,,,$,273000
417,$ 367500,2790,0,29.7346,-95.39353,77006,1,,,$,367500
418,$ 380702,2256,0,29.7346,-95.39353,77006,1,,,$,380702
419,$ 311226,2514,0,29.7346,-95.39353,77006,1,,,$,311226
420,$ 304008,2412,0,29.7346,-95.39353,77006,1,,,$,304008
421,$ 308259,2231,0,29.7346,-95.39353,77006,1,,,$,308259
422,$ 282262,1932,0,29.7346,-95.39353,77006,1,,,$,282262
423,$ 300000,2282,0,29.7346,-95.39353,77006,1,,,$,300000
426,$ 448500,2928,0.0572,29.73895,-95.39437,77006,1,,,$,448500
433,$ 270779,1688,0.0264,29.74113,-95.39399,77006,1,,,$,270779
434,$ 287188,1674,0.0264,29.74113,-95.39406,77006,1,,,$,287188
435,$ 269580,1674,0.0264,29.74113,-95.39413,77006,1,,,$,269580
436,$ 253000,1694,0.0264,29.74113,-95.39421,77006,1,,,$,253000
437,$ 325023,1664,0.0273,29.74113,-95.39391,77006,1,,,$,325023
438,$ 400000,2624,0.0324,29.74113,-95.39452,77006,1,,,$,400000
441,$ 447596,2604,0.0422,29.74113,-95.39433,77006,1,,,$,447596
442,$ 332090,1872,0.0287,29.74058,-95.39407,77006,1,,,$,332090
443,$ 344900,1756,0.0287,29.74058,-95.39415,77006,1,,,$,344900
444,$ 273308,1712,0.0287,29.74058,-95.39423,77006,1,,,$,273308
445,$ 395116,1812,0.0287,29.74058,-95.39431,77006,1,,,$,395116
446,$ 342972,1696,0.0287,29.74058,-95.39439,77006,1,,,$,342972
447,$ 404399,1756,0.0287,29.74058,-95.39447,77006,1,,,$,404399
448,$ 316684,1553,0.0543,29.74144,-95.39434,77006,1,,,$,316684
449,$ 194643,1144,0.0321,29.74215,-95.39424,77006,1,,,$,194643
464,$ 441568,1967,0.103,29.73975,-95.39554,77006,1,,,$,441568
478,$ 424641,2230,0.0381,29.73969,-95.39591,77006,1,,,$,424641
481,$ 276524,1712,0.0287,29.74053,-95.39591,77006,1,,,$,276524
484,$ 307440,2375,0.0476,29.74142,-95.3961,77006,1,,,$,307440
485,$ 367002,2432,0.0283,29.74143,-95.396,77006,1,,,$,367002
487,$ 317656,1608,0.0229,29.74244,-95.39615,77006,1,,,$,317656
488,$ 152100,1598,0.1286,29.76922,-95.35257,77002,1,,,$,152100
489,$ 159132,1308,0.0809,29.76902,-95.35256,77002,1,,,$,159132
490,$ 125150,1836,0.1149,29.76926,-95.35242,77002,1,,,$,125150
491,$ 437569,2450,0.0574,29.75512,-95.39748,77019,1,,,$,437569
492,$ 434260,2450,0.0575,29.75512,-95.39748,77019,1,,,$,434260
493,$ 400000,2206,0.0452,29.75521,-95.397,77019,1,,,$,400000
494,$ 359967,2341,0.0379,29.75521,-95.397,77019,1,,,$,359967
495,$ 398294,2823,0.0391,29.75521,-95.397,77019,1,,,$,398294
496,$ 431562,2206,0.0452,29.75521,-95.397,77019,1,,,$,431562
497,$ 415497,2341,0.0379,29.75521,-95.397,77019,1,,,$,415497
515,$ 151408,1250,0.0336,29.74387,-95.40508,77019,1,,,$,151408
519,$ 385549,2020,0.0459,29.74458,-95.40425,77019,1,,,$,385549
525,$ 371740,2020,0.0344,29.74458,-95.40425,77019,1,,,$,371740
526,$ 365549,2020,0.0344,29.74458,-95.40425,77019,1,,,$,365549
567,$ 375830,2396,0.0386,29.74502,-95.40618,77019,1,,,$,375830
569,$ 437309,2332,0.0534,29.74489,-95.40598,77019,1,,,$,437309
571,$ 385000,2396,0.0308,29.74503,-95.40595,77019,1,,,$,385000
579,$ 230121,1412,0.0352,29.74548,-95.40652,77019,1,,,$,230121
583,$ 252472,1390,0.0444,29.74541,-95.4065,77019,1,,,$,252472
584,$ 255103,1332,0.0352,29.74545,-95.40667,77019,1,,,$,255103
590,$ 388786,1828,0.0214,29.74527,-95.40753,77019,1,,,$,388786
593,$ 344166,2004,0.0353,29.74527,-95.40753,77019,1,,,$,344166
596,$ 450000,2301,0.0574,29.74573,-95.40765,77019,1,,,$,450000
602,$ 410000,2108,0.025,29.74487,-95.40766,77019,1,,,$,410000
603,$ 409847,2110,0.025,29.74488,-95.40759,77019,1,,,$,409847
604,$ 422752,2012,0.0278,29.74488,-95.40752,77019,1,,,$,422752
610,$ 375000,1720,0.0239,29.74487,-95.40798,77019,1,,,$,375000
611,$ 316342,1720,0.023,29.74487,-95.40805,77019,1,,,$,316342
612,$ 335917,1720,0.023,29.74487,-95.40812,77019,1,,,$,335917
613,$ 331650,1720,0.023,29.74487,-95.40819,77019,1,,,$,331650
614,$ 356278,1720,0.0231,29.74487,-95.40826,77019,1,,,$,356278
620,$ 335840,1839,0.0574,29.74395,-95.40763,77019,1,,,$,335840
623,$ 341234,1839,0.0574,29.74395,-95.40763,77019,1,,,$,341234
624,$ 401597,1865,0.0603,29.74453,-95.40771,77019,1,,,$,401597
635,$ 328700,1920,0.0675,29.74375,-95.40604,77019,1,,,$,328700
637,$ 326196,1920,0.0675,29.74367,-95.40604,77019,1,,,$,326196
648,$ 241399,1446,0.0574,29.74402,-95.40403,77019,1,,,$,241399
665,$ 370140,1004,0.1148,29.75086,-95.39414,77006,1,,,$,370140
666,$ 357610,980,0.1148,29.75086,-95.39398,77006,1,,,$,357610
668,$ 412720,2408,0.1148,29.75084,-95.39508,77006,1,,,$,412720
669,$ 416067,1051,0.1148,29.75086,-95.3935,77006,1,,,$,416067
674,$ 448800,1200,0.1148,29.75087,-95.39272,77006,1,,,$,448800
682,$ 433805,1134,0.1148,29.75122,-95.39493,77006,1,,,$,433805
685,$ 445152,1052,0.1148,29.75123,-95.39446,77006,1,,,$,445152
688,$ 424556,1302,0.1148,29.75124,-95.39398,77006,1,,,$,424556
690,$ 405255,1080,0.0999,29.75148,-95.39571,77006,1,,,$,405255
705,$ 422925,1137,0.1148,29.75126,-95.3932,77006,1,,,$,422925
710,$ 436767,1097,0.1148,29.75153,-95.39336,77006,1,,,$,436767
715,$ 431090,1360,0.1148,29.75154,-95.39257,77006,1,,,$,431090
717,$ 400000,1370,0.1148,29.75156,-95.39155,77006,1,,,$,400000
721,$ 396990,1095,0.1148,29.75189,-95.39526,77006,1,,,$,396990
723,$ 447700,1162,0.1148,29.75189,-95.39494,77006,1,,,$,447700
732,$ 450000,948,0.1148,29.75193,-95.39305,77006,1,,,$,450000
736,$ 440921,1392,0.0942,29.75199,-95.39135,77006,1,,,$,440921
745,$ 413063,2003,0.0398,29.73254,-95.39406,77006,1,,,$,413063
746,$ 435550,1751,0.0399,29.73254,-95.39397,77006,1,,,$,435550
750,$ 334117,1204,0.1148,29.75196,-95.38121,77019,1,,,$,334117
751,$ 273309,1054,0.1148,29.7525,-95.38012,77019,1,,,$,273309
752,$ 222900,832,0.0861,29.75215,-95.38016,77019,1,,,$,222900
758,$ 415800,2496,0.0367,29.72981,-95.38784,77002,1,,,$,415800
761,$ 433865,2646,0.0325,29.72976,-95.38776,77002,1,,,$,433865
764,$ 447414,2285,0.0574,29.73029,-95.38732,77002,1,,,$,447414
769,$ 416680,2303,0.0266,29.73081,-95.38698,77002,1,,,$,416680
770,$ 416680,2303,0.0266,29.73076,-95.3869,77002,1,,,$,416680
771,$ 235000,2292,0.1174,29.74954,-95.39582,77006,1,,,$,235000
774,$ 358600,1080,0.1148,29.75081,-95.396,77006,1,,,$,358600
778,$ 346500,1454,0.1088,29.75081,-95.39663,77006,1,,,$,346500
779,$ 413481,1084,0.1148,29.7512,-95.39617,77006,1,,,$,413481
785,$ 419669,1142,0.1148,29.75147,-95.39649,77006,1,,,$,419669
789,$ 328205,2172,0.0295,29.75139,-95.39693,77006,1,,,$,328205
796,$ 395388,1852,0.0352,29.75121,-95.39649,77006,1,,,$,395388
797,$ 416900,1856,0.0466,29.75112,-95.39648,77006,1,,,$,416900
798,$ 335812,1554,0.0329,29.7513,-95.39649,77006,1,,,$,335812
799,$ 391907,2127,0.0364,29.75139,-95.39711,77006,1,,,$,391907
801,$ 402636,2678,0.0337,29.75148,-95.39714,77006,1,,,$,402636
807,$ 406003,1092,0.1148,29.75188,-95.39587,77006,1,,,$,406003
817,$ 367973,1982,0,29.72635,-95.39252,77006,1,,,$,367973
818,$ 228827,1882,0,29.72635,-95.39245,77006,1,,,$,228827
827,$ 415313,2072,0,29.7284,-95.39209,77006,1,,,$,415313
828,$ 403938,2072,0,29.7284,-95.39217,77006,1,,,$,403938
831,$ 400000,2124,0,29.7284,-95.39241,77006,1,,,$,400000
834,$ 435920,2245,0,29.72839,-95.39264,77006,1,,,$,435920
835,$ 427575,2456,0,29.72839,-95.39272,77006,1,,,$,427575
837,$ 426921,2186,0,29.72788,-95.39264,77006,1,,,$,426921
838,$ 385200,1774,0,29.72784,-95.39254,77006,1,,,$,385200
840,$ 420000,2124,0,29.72788,-95.39241,77006,1,,,$,420000
841,$ 400800,2047,0,29.72788,-95.39234,77006,1,,,$,400800
842,$ 421277,2116,0,29.72789,-95.39226,77006,1,,,$,421277
844,$ 425767,2694,0,29.72789,-95.39211,77006,1,,,$,425767
845,$ 426253,2341,0,29.72789,-95.39202,77006,1,,,$,426253
852,$ 313000,1921,0.0293,29.72916,-95.39441,77006,1,,,$,313000
855,$ 310235,1921,0.0293,29.72916,-95.39431,77006,1,,,$,310235
863,$ 420000,2839,0.0534,29.72869,-95.39242,77006,1,,,$,420000
891,$ 376060,1981,0.1456,29.74272,-95.38209,77006,1,,,$,376060
892,$ 405331,1236,0.0999,29.74955,-95.39568,77006,1,,,$,405331
896,$ 330110,1444,0.1148,29.74955,-95.39508,77006,1,,,$,330110
897,$ 330000,1708,0.039,29.7495,-95.39473,77006,1,,,$,330000
902,$ 291731,1781,0.039,29.7495,-95.39473,77006,1,,,$,291731
903,$ 287843,1781,0.039,29.7495,-95.39473,77006,1,,,$,287843
911,$ 410000,1383,0.1148,29.74979,-95.39536,77006,1,,,$,410000
919,$ 289238,1886,0.0412,29.74985,-95.3957,77006,1,,,$,289238
923,$ 440000,1161,0.1148,29.74985,-95.39269,77006,1,,,$,440000
925,$ 405594,1766,0.0478,29.75023,-95.39553,77006,1,,,$,405594
933,$ 369643,1752,0.0371,29.75013,-95.39553,77006,1,,,$,369643
934,$ 340000,2028,0.0298,29.75005,-95.39553,77006,1,,,$,340000
944,$ 423000,1204,0.0999,29.75055,-95.39569,77006,1,,,$,423000
947,$ 402677,2280,0.1148,29.75057,-95.39476,77006,1,,,$,402677
948,$ 360832,2036,0.0253,29.75048,-95.39462,77006,1,,,$,360832
949,$ 368500,1794,0.1148,29.75058,-95.39429,77006,1,,,$,368500
951,$ 351280,2022,0.0262,29.75049,-95.39444,77006,1,,,$,351280
952,$ 360000,2078,0.0341,29.75049,-95.39444,77006,1,,,$,360000
953,$ 369030,2088,0.0305,29.75049,-95.39444,77006,1,,,$,369030
954,$ 376538,2050,0.0341,29.75048,-95.39462,77006,1,,,$,376538
955,$ 375740,2138,0.0305,29.75048,-95.39462,77006,1,,,$,375740
978,$ 385520,1706,0.0503,29.73698,-95.40592,77098,1,,,$,385520
979,$ 337492,1650,0.0379,29.73708,-95.40593,77098,1,,,$,337492
980,$ 372116,1650,0.038,29.73716,-95.40593,77098,1,,,$,372116
981,$ 399430,1669,0.0503,29.73698,-95.40575,77098,1,,,$,399430
982,$ 337492,1650,0.0379,29.73708,-95.40576,77098,1,,,$,337492
983,$ 383000,1650,0.038,29.73717,-95.40576,77098,1,,,$,383000
984,$ 373798,1641,0.022,29.73712,-95.40611,77098,1,,,$,373798
986,$ 347579,2196,0.0487,29.73666,-95.40725,77098,1,,,$,347579
987,$ 345000,1939,0.0531,29.73666,-95.40725,77098,1,,,$,345000
988,$ 348000,1939,0.0442,29.73666,-95.40725,77098,1,,,$,348000
989,$ 353919,1939,0.0442,29.73666,-95.40725,77098,1,,,$,353919
990,$ 352000,1939,0.0449,29.73666,-95.40725,77098,1,,,$,352000
991,$ 335000,1939,0.0413,29.73666,-95.40725,77098,1,,,$,335000
992,$ 355000,2196,0.0412,29.73666,-95.40725,77098,1,,,$,355000
993,$ 383954,2196,0.0411,29.73666,-95.40725,77098,1,,,$,383954
994,$ 411476,2303,0.054,29.73654,-95.40644,77098,1,,,$,411476
995,$ 345000,2160,0.0478,29.73638,-95.40692,77098,1,,,$,345000
996,$ 376000,2369,0.0418,29.73646,-95.40645,77098,1,,,$,376000
997,$ 360000,2160,0.0392,29.73638,-95.40691,77098,1,,,$,360000
999,$ 430624,2303,0.0608,29.73668,-95.40644,77098,1,,,$,430624
1001,$ 388000,2242,0.0448,29.73526,-95.40787,77098,1,,,$,388000
